partner_name,advertiser_id,status,category,commission_min,commission_max,lead_min,lead_max,epc,conversion_rate,approval_rate,payment_status,average_payment_time,fit_score,risk_level,priority,recommended_tarvyo24_page,recommendation,reason
Tarifcheck.de,11202,green,Insurance,0,0,5,60.5,4.00,8.3842,51.56,green,110,1.0,mittel,A,kategorienübergreifend (nur unkritische Bereiche),sofort bewerben (Prioritätsmarke); nur unkritische Produktbereiche bewerben,vom Betreiber priorisierte Marke; Thema vergleich; EPC 4; Bestätigung 51.56%; Lead bis 60.5€
Mega-Sim DE,66036,amber,Mobile Contract,0,0,0,0,2.97,14.8742,56.25,amber,64,1.0,gering,A,kategorien/handyvertrag,sofort bewerben,Thema mobilfunk; EPC 2.97; Bestätigung 56.25%
Steuertipps DE,13746,amber,Software Downloads,15,15,0,0,0.18,4.04898,100.00,amber,57,1.0,gering,A,kategorien/buchhaltungssoftware,sofort bewerben,Thema buchhaltung; EPC 0.18; Bestätigung 100%; Provision bis 15%
PLAN-B NET ZERO ENERGY DE,115491,green,Utilities,0,0,0,0,2.40,7.82839,50.00,green,64,1.0,gering,A,kategorien/strom-gas,sofort bewerben,Thema energie; EPC 2.4; Bestätigung 50%
Verivox DE,14797,green,Utilities,0,0,10,55,1.03,4.01437,77.91,green,68,1.0,mittel,A,kategorienübergreifend (nur unkritische Bereiche),sofort bewerben (Prioritätsmarke); nur unkritische Produktbereiche bewerben,vom Betreiber priorisierte Marke; Thema vergleich; EPC 1.03; Bestätigung 77.91%; Lead bis 55€
volders DE,14036,green,Savings & Investments,0,0,2.5,2.5,0.06,17.5295,100.00,green,82,1.0,gering,A,gewerbe-tools / künftig Vertragsverwaltung,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema vertrag; EPC 0.06; Bestätigung 100%; Lead bis 2.5€
sevdesk DE,15944,amber,Business Services (B2B),0,0,15,90,0.40,3.06962,98.18,amber,88,1.0,gering,A,kategorien/buchhaltungssoftware,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema buchhaltung; EPC 0.4; Bestätigung 98.18%; Lead bis 90€
Telekom Affiliate DE,11430,green,Mobile Contract,0,0,0,280,0.06,0.193242,81.10,green,74,1.0,gering,A,kategorien/handyvertrag + internet-dsl,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema internet; EPC 0.06; Bestätigung 81.1%; Lead bis 280€
WISO Steuer-Software von Buhl Data,17387,amber,Software Downloads,0,0,10,10,0.33,5.38221,100.00,amber,87,1.0,gering,A,kategorien/buchhaltungssoftware,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema buchhaltung; EPC 0.33; Bestätigung 100%; Lead bis 10€
OXG Glasfaser DE,119273,amber,Business Services (B2B),0,0,0,0,1.36,4.54545,66.67,amber,70,1.0,gering,A,kategorien/internet-dsl,sofort bewerben,Thema internet; EPC 1.36; Bestätigung 66.67%
E.ON DE,14115,amber,Utilities,0,0,1,65,1.55,0.518135,100.00,amber,188,1.0,gering,A,kategorien/strom-gas,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; EPC 1.55; Bestätigung 100%; Lead bis 65€
WEtell - nachhaltiger Mobilfunk DE,44455,amber,Green (Eco friendly),0,0,0,0,1.28,6.25,61.90,amber,100,1.0,gering,A,kategorien/handyvertrag,sofort bewerben,Thema mobilfunk; EPC 1.28; Bestätigung 61.9%
Green Planet Energy eG DE,14852,green,Utilities,0,0,30,40,0.49,1.04225,49.06,green,36,1.0,gering,A,kategorien/strom-gas,sofort bewerben,Thema energie; EPC 0.49; Bestätigung 49.06%; Lead bis 40€
freenet,11420,amber,Mobile Contract,1,10,0,150,0.49,1.54085,43.02,amber,95,1.0,gering,A,kategorien/handyvertrag,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema mobilfunk; EPC 0.49; Bestätigung 43.02%; Provision bis 10%; Lead bis 150€
